Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Bahrain,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Benelux-France,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Benelux-France,
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Serology Products,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Platelet Antibody Detection Products,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HPA Genotyping,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Screening,,Benelux-France,Gen-Probe Belgium BVBA
Coagulation Products,LIFECODES,LIFECODES Coagulation Products,,Benelux-France,Gen-Probe Belgium BVBA
Transplant & Transfusion Medicine,LIFECODES,Gen-Probe Fluoroanalyzer,,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSO Typing,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES HLA Genotyping,SSP Typing,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES KIR Genotyping,,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,Luminex-based Typing,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Red Cell Genotyping,E-Gel based Typing,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification ,Bead-based,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Screen & Identification,ELISA-based,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA Single Antigen,,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,Bead-based,Brazil,The Bio Group - PH7ID
Transplant & Transfusion Medicine,LIFECODES,LIFECODES Donor Specific Antibody,ELISA-based,Brazil,"Gen-Probe GTI Diagnostics, Inc."
Transplant & Transfusion Medicine,LIFECODES,LIFECODES LSA MIC,,Brazil,The Bio Group - PH7ID
